molregno	chembl_id	accession	description	target_name	standard_relation	standard_value	standard_units	standard_type	organism	assay_cell_type	Num_Atoms	ALogP	LogD	QED	SMILES_cpd	SMILES_BM	BMCluster	BMCluster_size
107444	CHEMBL305194	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells	Epidermal growth factor receptor erbB1	>	50000	nM	IC50	Homo sapiens	NIH3T3	29	4.243	2.783	0.47463	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)C(=O)O	C1Nc2ncnc(Nc3ccccc3)c2/C/1=C/c4ccc[nH]4	1	4
107444	CHEMBL305194	P00533	Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells	Epidermal growth factor receptor erbB1	>	5000	nM	IC50	Homo sapiens	A-431	29	4.243	2.783	0.47463	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)C(=O)O	C1Nc2ncnc(Nc3ccccc3)c2/C/1=C/c4ccc[nH]4	1	4
107148	CHEMBL305246	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells	Epidermal growth factor receptor erbB1	=	750	nM	IC50	Homo sapiens	NIH3T3	35	3.984	3.484	0.4726	CN1CCN(CC1)C(=O)c2cc(C)c(\C=C\3/C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c34)[nH]2	C(N1CCNCC1)c2ccc(\C=C\3/CNc4ncnc(Nc5ccccc5)c34)[nH]2	5	3
107148	CHEMBL305246	P00533	Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells	Epidermal growth factor receptor erbB1	=	100	nM	IC50	Homo sapiens	A-431	35	3.984	3.484	0.4726	CN1CCN(CC1)C(=O)c2cc(C)c(\C=C\3/C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c34)[nH]2	C(N1CCNCC1)c2ccc(\C=C\3/CNc4ncnc(Nc5ccccc5)c34)[nH]2	5	3
106409	CHEMBL69966	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells	Epidermal growth factor receptor erbB1	=	620	nM	IC50	Homo sapiens	NIH3T3	37	3.904	3.884	0.28823	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4cccc(c4)C#C)c23)C(=O)NCCN5CCOCC5	C(CN1CCOCC1)NCc2ccc(\C=C\3/CNc4ncnc(Nc5ccccc5)c34)[nH]2	4	2
106409	CHEMBL69966	P00533	Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells	Epidermal growth factor receptor erbB1	=	40	nM	IC50	Homo sapiens	A-431	37	3.904	3.884	0.28823	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4cccc(c4)C#C)c23)C(=O)NCCN5CCOCC5	C(CN1CCOCC1)NCc2ccc(\C=C\3/CNc4ncnc(Nc5ccccc5)c34)[nH]2	4	2
107104	CHEMBL69358	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells	Epidermal growth factor receptor erbB1	=	1290	nM	IC50	Homo sapiens	NIH3T3	36	4.657	3.411	0.31063	CCN(CC)CCNC(=O)c1cc(C)c(\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)[nH]1	C1Nc2ncnc(Nc3ccccc3)c2/C/1=C/c4ccc[nH]4	1	4
107104	CHEMBL69358	P00533	Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells	Epidermal growth factor receptor erbB1	=	200	nM	IC50	Homo sapiens	A-431	36	4.657	3.411	0.31063	CCN(CC)CCNC(=O)c1cc(C)c(\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)[nH]1	C1Nc2ncnc(Nc3ccccc3)c2/C/1=C/c4ccc[nH]4	1	4
107368	CHEMBL69071	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells	Epidermal growth factor receptor erbB1	=	2580	nM	IC50	Homo sapiens	NIH3T3	36	4.203	3.007	0.39175	CC1CN(CC(C)N1)C(=O)c2cc(C)c(\C=C\3/C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c34)[nH]2	C(N1CCNCC1)c2ccc(\C=C\3/CNc4ncnc(Nc5ccccc5)c34)[nH]2	5	3
107304	CHEMBL264382	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells	Epidermal growth factor receptor erbB1	=	1950	nM	IC50	Homo sapiens	NIH3T3	45	4.86	4.838	0.17745	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc5c(ccn5Cc6ccccc6)c4)c23)C(=O)NCCN7CCOCC7	C(CN1CCOCC1)NCc2ccc(\C=C\3/CNc4ncnc(Nc5ccc6c(ccn6Cc7ccccc7)c5)c34)[nH]2	6	1
107304	CHEMBL264382	P00533	Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells	Epidermal growth factor receptor erbB1	=	200	nM	IC50	Homo sapiens	A-431	45	4.86	4.838	0.17745	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc5c(ccn5Cc6ccccc6)c4)c23)C(=O)NCCN7CCOCC7	C(CN1CCOCC1)NCc2ccc(\C=C\3/CNc4ncnc(Nc5ccc6c(ccn6Cc7ccccc7)c5)c34)[nH]2	6	1
107306	CHEMBL67057	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells (Not tested)	Epidermal growth factor receptor erbB1	=	100	nM	IC50	Homo sapiens	NIH3T3	42	4.928	4.926	0.2542	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc5c(ccn5Cc6ccccc6)c4)c23)C(=O)N7CCOCC7	C(N1CCOCC1)c2ccc(\C=C\3/CNc4ncnc(Nc5ccc6c(ccn6Cc7ccccc7)c5)c34)[nH]2	7	1
107306	CHEMBL67057	P00533	Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells	Epidermal growth factor receptor erbB1	=	100	nM	IC50	Homo sapiens	A-431	42	4.928	4.926	0.2542	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc5c(ccn5Cc6ccccc6)c4)c23)C(=O)N7CCOCC7	C(N1CCOCC1)c2ccc(\C=C\3/CNc4ncnc(Nc5ccc6c(ccn6Cc7ccccc7)c5)c34)[nH]2	7	1
107305	CHEMBL67003	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells (Not tested)	Epidermal growth factor receptor erbB1	=	100	nM	IC50	Homo sapiens	NIH3T3	42	4.278	4.278	0.26443	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc5c(cnn5Cc6ccccc6)c4)c23)C(=O)N7CCOCC7	C(N1CCOCC1)c2ccc(\C=C\3/CNc4ncnc(Nc5ccc6c(cnn6Cc7ccccc7)c5)c34)[nH]2	8	1
107305	CHEMBL67003	P00533	Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells	Epidermal growth factor receptor erbB1	=	100	nM	IC50	Homo sapiens	A-431	42	4.278	4.278	0.26443	Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc5c(cnn5Cc6ccccc6)c4)c23)C(=O)N7CCOCC7	C(N1CCOCC1)c2ccc(\C=C\3/CNc4ncnc(Nc5ccc6c(cnn6Cc7ccccc7)c5)c34)[nH]2	8	1
106303	CHEMBL308672	P00533	Inhibition of ligand-induced proliferation in human EGF-R Kinase expressing 3T3 cells (Not tested)	Epidermal growth factor receptor erbB1	=	500	nM	IC50	Homo sapiens	NIH3T3	36	4.657	3.411	0.31063	CCN(CC)CCNC(=O)c1cc(C)c(\C=C\2/C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c23)[nH]1	C1Nc2ncnc(Nc3ccccc3)c2/C/1=C/c4ccc[nH]4	1	4
106303	CHEMBL308672	P00533	Inhibition of autophosphorylation of human epidermal growth factor-receptor (EGF-R) expressed in A431 cells	Epidermal growth factor receptor erbB1	=	500	nM	IC50	Homo sapiens	A-431	36	4.657	3.411	0.31063	CCN(CC)CCNC(=O)c1cc(C)c(\C=C\2/C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c23)[nH]1	C1Nc2ncnc(Nc3ccccc3)c2/C/1=C/c4ccc[nH]4	1	4
163291	CHEMBL100714	P00533	Inhibition of epidermal growth factor receptor (EGF-R) autophosphorylation in A431 cells	Epidermal growth factor receptor erbB1	=	2800	nM	IC50	Homo sapiens	A-431	25	3.411	2.343	0.73614	COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
163009	CHEMBL431818	P00533	Inhibition of epidermal growth factor receptor (EGF-R) autophosphorylation in A431 cells	Epidermal growth factor receptor erbB1	>	100000	nM	IC50	Homo sapiens	A-431	25	3.421	3.421	0.67941	COc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1OC	O(c1ccccc1)c2ncnc3ccccc23	10	13
163585	CHEMBL98248	P00533	Inhibition of epidermal growth factor receptor (EGF-R) autophosphorylation in A431 cells	Epidermal growth factor receptor erbB1	=	370	nM	IC50	Homo sapiens	A-431	22	4.281	4.694	0.7552	COc1cc2nccc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ccnc3ccccc23	11	82
163617	CHEMBL98798	P00533	Inhibition of epidermal growth factor receptor (EGF-R) autophosphorylation in A431 cells	Epidermal growth factor receptor erbB1	=	70	nM	IC50	Homo sapiens	A-431	22	4.203	4.203	0.69712	COc1cc2ncnc(Oc3cccc(Br)c3)c2cc1OC	O(c1ccccc1)c2ncnc3ccccc23	10	13
163617	CHEMBL98798	P00533	Inhibition of human EGFR-mediated poly(Glu4Tyr) phosphorylation after 1 hr	Epidermal growth factor receptor erbB1	=	7600	nM	IC50	Homo sapiens	A-431	22	4.203	4.203	0.69712	COc1cc2ncnc(Oc3cccc(Br)c3)c2cc1OC	O(c1ccccc1)c2ncnc3ccccc23	10	13
163269	CHEMBL101581	P00533	Inhibition of epidermal growth factor receptor (EGF-R) autophosphorylation in A431 cells	Epidermal growth factor receptor erbB1	=	2500	nM	IC50	Homo sapiens	A-431	22	4.292	4.474	0.696	COc1cc2nccc(Oc3cccc(Br)c3)c2cc1OC	O(c1ccccc1)c2ccnc3ccccc23	12	2
39672	CHEMBL29197	P00533	Inhibition of epidermal growth factor receptor (EGF-R) autophosphorylation in A431 cells	Epidermal growth factor receptor erbB1	=	4	nM	IC50	Homo sapiens	A-431	22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of Epidermal growth factor receptor from human A431 cell membranes	Epidermal growth factor receptor erbB1	=	2.9e-002	nM	IC50	Homo sapiens	A-431	22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of tyrosine kinase activity of Epidermal growth factor receptor from human A431 cells	Epidermal growth factor receptor erbB1	=	2.5e-002	nM	IC50	Homo sapiens	A-431	22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of EGFR tyrosine kinase activity	Epidermal growth factor receptor erbB1	=	28	nM	IC50	Homo sapiens	A-431	22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of human EGFR in presence of 1 uM ATP	Epidermal growth factor receptor erbB1	=	2.6	nM	IC50	Homo sapiens	A-431	22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of human EGFR in presence of 1 mM ATP	Epidermal growth factor receptor erbB1	>	100	nM	IC50	Homo sapiens	A-431	22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of EGFR in human A431 cells by phosphotyrosine ELISA	Epidermal growth factor receptor erbB1	=	200	nM	IC50	Homo sapiens	A-431	22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of EGFR in human A431 cells by phosphotyrosine cell-based ELISA	Epidermal growth factor receptor erbB1	=	230	nM	IC50	Homo sapiens	A-431	22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of EGFR phosphorylation in human A431 cells after 10 mins by FLISA	Epidermal growth factor receptor erbB1	=	200	nM	IC50	Homo sapiens		22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of human EGFR-mediated poly(Glu4Tyr) phosphorylation after 1 hr	Epidermal growth factor receptor erbB1	=	63	nM	IC50	Homo sapiens		22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition autophosphorylation of EGFR in human DiFi cells after 2 hrs by ELISA	Epidermal growth factor receptor erbB1	=	70.79	nM	IC50	Homo sapiens		22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of EGFR tyrosine kinase activity in EGF-stimulated human A431 cells after 60 mins by ELISA	Epidermal growth factor receptor erbB1	=	230	nM	IC50	Homo sapiens		22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of EGF-induced EGFR autophosphorylation in human A431 cells incubated for 60 mins prior to EGF-induction measured after 10 mins by phosphotyrosine ELISA	Epidermal growth factor receptor erbB1	=	200	nM	IC50	Homo sapiens		22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of EGFR in human A431 cells pretreated for 60 mins measured after 1 hr by ELISA	Epidermal growth factor receptor erbB1	=	230	nM	IC50	Homo sapiens		22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of human EGFR kinase activity	Epidermal growth factor receptor erbB1	=	70	nM	IC50	Homo sapiens		22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of EGF-induced EGFR phosphorylation in human A431 cells overexpressing EGFR pretreated for 60 mins prior to EGF addition measured after 10 mins by phosphotyrosine ELISA cytoblot analysis	Epidermal growth factor receptor erbB1	=	230	nM	IC50	Homo sapiens		22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of EGFR in human A431 cells assessed as inhibition of EGF-induced tyrosine phosphorylation incubated for 60 mins prior to EGF-activation measured 10 mins by ELISA	Epidermal growth factor receptor erbB1	=	200	nM	IC50	Homo sapiens		22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
39672	CHEMBL29197	P00533	Inhibition of epidermal growth factor receptor kinase (unknown origin) using [33P]-ATP after 20 to 30 mins by radiometric assay	Epidermal growth factor receptor erbB1	=	2.9e-002	nM	IC50	Homo sapiens		22	4.193	4.192	0.75608	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	N(c1ccccc1)c2ncnc3ccccc23	9	390
163008	CHEMBL98137	P00533	Inhibition of epidermal growth factor receptor (EGF-R) autophosphorylation in A431 cells	Epidermal growth factor receptor erbB1	=	80500	nM	IC50	Homo sapiens	A-431	25	3.5	3.056	0.74096	COc1ccc(Nc2ccnc3cc(OC)c(OC)cc23)cc1OC	N(c1ccccc1)c2ccnc3ccccc23	11	82
3101	CHEMBL8000	P00533	Inhibition of EGF-dependent autophosphorylation of EGF-R in human A431 cells	Epidermal growth factor receptor erbB1	>	50000	nM	IC50	Homo sapiens	A-431	31	5.539	5.539	0.42817	O=C1N(C(=O)c2cc(Nc3ccccc3)c(Nc4ccccc4)cc12)c5ccccc5	C1N(Cc2cc(Nc3ccccc3)c(Nc4ccccc4)cc12)c5ccccc5	13	1
2753	CHEMBL268868	P00533	Inhibition of EGF-dependent autophosphorylation of EGF-R in human A431 cells	Epidermal growth factor receptor erbB1	>	4500	nM	IC50	Homo sapiens	A-431	25	3.756	3.769	0.63756	O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc4ccccc4)cc12	C1NCc2cc(Nc3ccccc3)c(Nc4ccccc4)cc12	14	8
2790	CHEMBL7352	P00533	Inhibition of EGF-dependent autophosphorylation of EGF-R in human A431 cells	Epidermal growth factor receptor erbB1	>	100000	nM	IC50	Homo sapiens	A-431	29	3.723	3.736	0.55704	COc1ccc(Nc2cc3C(=O)NC(=O)c3cc2Nc4ccc(OC)cc4)cc1	C1NCc2cc(Nc3ccccc3)c(Nc4ccccc4)cc12	14	8
2877	CHEMBL7775	P00533	Inhibition of EGF-dependent autophosphorylation of EGF-R in human A431 cells	Epidermal growth factor receptor erbB1	>	100000	nM	IC50	Homo sapiens	A-431	26	3.962	3.359	0.70403	CN(c1ccccc1)c2cc3C(=O)NC(=O)c3cc2Nc4ccccc4	C1NCc2cc(Nc3ccccc3)c(Nc4ccccc4)cc12	14	8
2915	CHEMBL7914	P00533	Inhibition of EGF-dependent autophosphorylation of EGF-R in human A431 cells	Epidermal growth factor receptor erbB1	=	4500	nM	IC50	Homo sapiens	A-431	27	4.729	4.741	0.59055	Cc1ccc(Nc2cc3C(=O)NC(=O)c3cc2Nc4ccc(C)cc4)cc1	C1NCc2cc(Nc3ccccc3)c(Nc4ccccc4)cc12	14	8
3137	CHEMBL7929	P00533	Inhibition of EGF-dependent autophosphorylation of EGF-R in human A431 cells	Epidermal growth factor receptor erbB1	>	100000	nM	IC50	Homo sapiens	A-431	37	6.793	6.896	0.23354	O=C1NC(=O)c2cc(Nc3ccc(cc3)c4ccccc4)c(Nc5ccc(cc5)c6ccccc6)cc12	C1NCc2cc(Nc3ccc(cc3)c4ccccc4)c(Nc5ccc(cc5)c6ccccc6)cc12	15	1
2782	CHEMBL7939	P00533	Inhibition of EGF-dependent autophosphorylation of EGF-R in human A431 cells	Epidermal growth factor receptor erbB1	=	2200	nM	IC50	Homo sapiens	A-431	27	4.167	4.18	0.60723	Fc1ccc(Nc2cc3C(=O)NC(=O)c3cc2Nc4ccc(F)cc4)cc1	C1NCc2cc(Nc3ccccc3)c(Nc4ccccc4)cc12	14	8
3102	CHEMBL8095	P00533	Inhibition of EGF-dependent autophosphorylation of EGF-R in human A431 cells	Epidermal growth factor receptor erbB1	=	18000	nM	IC50	Homo sapiens	A-431	27	3.74	3.753	0.60495	COc1ccc(Nc2cc3C(=O)NC(=O)c3cc2Nc4ccccc4)cc1	C1NCc2cc(Nc3ccccc3)c(Nc4ccccc4)cc12	14	8
2997	CHEMBL268441	P00533	Inhibition of EGF-dependent autophosphorylation of EGF-R in human A431 cells	Epidermal growth factor receptor erbB1	>	50000	nM	IC50	Homo sapiens	A-431	28	3.109	3.122	0.69101	CC(=O)N(c1ccccc1)c2cc3C(=O)NC(=O)c3cc2Nc4ccccc4	C1NCc2cc(Nc3ccccc3)c(Nc4ccccc4)cc12	14	8
3063	CHEMBL8036	P00533	Inhibition of EGF-dependent autophosphorylation of EGF-R in human A431 cells	Epidermal growth factor receptor erbB1	>	50000	nM	IC50	Homo sapiens	A-431	26	3.962	3.962	0.70403	CN1C(=O)c2cc(Nc3ccccc3)c(Nc4ccccc4)cc2C1=O	C1NCc2cc(Nc3ccccc3)c(Nc4ccccc4)cc12	14	8
223051	CHEMBL132466	P00533	Inhibition of EGFR overexpressing A431 cell proliferation	Epidermal growth factor receptor erbB1	=	680	nM	IC50	Homo sapiens		29	5.19	5.26	0.47138	COc1cc2cc3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3cc2cc1OC	N(c1ccccc1)c2ccnc3cc4ccccc4cc23	16	1
181230	CHEMBL109372	P00533	Inhibition of EGFR overexpressing A431 cell proliferation	Epidermal growth factor receptor erbB1	=	1030	nM	IC50	Homo sapiens		25	4.282	4.686	0.75437	COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC	N(c1ccccc1)c2ccnc3ccccc23	11	82
181230	CHEMBL109372	P00533	Inhibition autophosphorylation of EGFR in human DiFi cells after 2 hrs by ELISA	Epidermal growth factor receptor erbB1	=	537.03	nM	IC50	Homo sapiens		25	4.282	4.686	0.75437	COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC	N(c1ccccc1)c2ccnc3ccccc23	11	82
168722	CHEMBL102651	P00533	Inhibition of EGF-induced Tyrosine phosphorylation in A431 cells expressing EGF-R	Epidermal growth factor receptor erbB1	=	419	nM	IC50	Homo sapiens	A-431	22	3.563	3.563	0.60578	C[C@@H](Nc1[nH]cnc2c3ccccc3nc12)c4ccccc4	C(Nc1[nH]cnc2c3ccccc3nc12)c4ccccc4	17	2
169097	CHEMBL103014	P00533	Inhibition of EGF-induced Tyrosine phosphorylation in A431 cells expressing EGF-R	Epidermal growth factor receptor erbB1	=	538	nM	IC50	Homo sapiens	A-431	22	4.85	4.835	0.58806	C[C@@H](Nc1ncnc2c3ccccc3sc12)c4ccccc4	C(Nc1ncnc2c3ccccc3sc12)c4ccccc4	18	1
